year;km3;m3s
1950;0;0
1951;0,2051244;0
1952;0,4102488;0
1953;0,6153732;0
1954;0,8204976;0
1955;1,025622;0
1956;1,2307464;0
1957;1,4358708;0
1958;1,6409952;0
1959;1,8461196;0
1960;2,051244;0
1961;2,2563684;0
1962;2,4614928;130
1963;2,78338032;147
1964;3,10526784;164
1965;3,42715536;181
1966;3,74904288;198
1967;4,199685408;221,8
1968;4,650327936;245,6
1969;5,100970464;269,4
1970;5,551612992;293,2
1971;6,00225552;317
1972;6,317257745;333,6363636
1973;6,632259971;350,2727273
1974;6,947262196;366,9090909
1975;7,262264422;383,5454545
1976;7,577266647;400,1818182
1977;7,892268873;416,8181818
1978;8,207271098;433,4545455
1979;8,522273324;450,0909091
1980;8,837275549;466,7272727
1981;9,152277775;483,3636364
1982;9,46728;500
1983;9,602526857;507,1428571
1984;9,737773714;514,2857143
1985;9,873020571;521,4285714
1986;10,00826743;528,5714286
1987;10,14351429;535,7142857
1988;10,27876114;542,8571429
1989;10,414008;550
1990;10,54925486;557,1428571
1991;10,68450171;564,2857143
1992;10,81974857;571,4285714
1993;10,95499543;578,5714286
1994;11,09024229;585,7142857
1995;11,22548914;592,8571429
1996;11,360736;600
1997;11,49598286;607,1428571
1998;11,63122971;614,2857143
1999;11,76647657;621,4285714
2000;11,90172343;628,5714286
2001;12,03697029;635,7142857
2002;12,17221714;642,8571429
2003;12,307464;650
2004;12,307464;650
2005;12,307464;650
2006;12,307464;650
2007;12,307464;650
2008;12,307464;650
2009;12,307464;650
2010;12,307464;650
2011;12,307464;650
2012;12,307464;650
2013;12,307464;650
2014;12,307464;650
2015;12,307464;650
2016;12,307464;650
2017;12,307464;650
2018;12,307464;650
2019;12,307464;650
2020;12,307464;650
2021;12,307464;650
2022;12,307464;650
2023;12,307464;650
