job_id,run_id,group,time_block,start_date,end_date,model,scenario,forcing,type,parameter_set
r001_000,r001,era5,era5_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,era5,era5,era5,raw,uncalibrated
r001_001,r001,era5,era5_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,era5,era5,era5,raw,uncalibrated
r001_002,r001,era5,era5_1990_2020,1990-01-01T00:00:00Z,2020-12-31T00:00:00Z,era5,era5,era5,raw,uncalibrated
r002_000,r002,era5,era5_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,era5,era5,era5,raw,overall_calibrated
r002_001,r002,era5,era5_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,era5,era5,era5,raw,overall_calibrated
r002_002,r002,era5,era5_1990_2020,1990-01-01T00:00:00Z,2020-12-31T00:00:00Z,era5,era5,era5,raw,overall_calibrated
r003_000,r003,era5,era5_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,era5,era5,era5,raw,amu_calibrated
r003_001,r003,era5,era5_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,era5,era5,era5,raw,amu_calibrated
r003_002,r003,era5,era5_1990_2020,1990-01-01T00:00:00Z,2020-12-31T00:00:00Z,era5,era5,era5,raw,amu_calibrated
r004_000,r004,era5,era5_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,era5,era5,era5,raw,syr_calibrated
r004_001,r004,era5,era5_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,era5,era5,era5,raw,syr_calibrated
r004_002,r004,era5,era5_1990_2020,1990-01-01T00:00:00Z,2020-12-31T00:00:00Z,era5,era5,era5,raw,syr_calibrated
r005_000,r005,cmip_hist,cmip_hist_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,MIROC6,historical,cmip,regridded,overall_calibrated
r005_001,r005,cmip_hist,cmip_hist_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,MIROC6,historical,cmip,regridded,overall_calibrated
r005_002,r005,cmip_hist,cmip_hist_1990_2014,1990-01-01T00:00:00Z,2014-12-31T00:00:00Z,MIROC6,historical,cmip,regridded,overall_calibrated
r006_000,r006,cmip_hist,cmip_hist_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,MPI-ESM1-2-HR,historical,cmip,regridded,overall_calibrated
r006_001,r006,cmip_hist,cmip_hist_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,MPI-ESM1-2-HR,historical,cmip,regridded,overall_calibrated
r006_002,r006,cmip_hist,cmip_hist_1990_2014,1990-01-01T00:00:00Z,2014-12-31T00:00:00Z,MPI-ESM1-2-HR,historical,cmip,regridded,overall_calibrated
r007_000,r007,cmip_hist,cmip_hist_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,CanESM5,historical,cmip,regridded,overall_calibrated
r007_001,r007,cmip_hist,cmip_hist_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,CanESM5,historical,cmip,regridded,overall_calibrated
r007_002,r007,cmip_hist,cmip_hist_1990_2014,1990-01-01T00:00:00Z,2014-12-31T00:00:00Z,CanESM5,historical,cmip,regridded,overall_calibrated
r008_000,r008,cmip_hist,cmip_hist_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,MIROC6,historical,cmip,bias_corrected,overall_calibrated
r008_001,r008,cmip_hist,cmip_hist_1965_1995,1965-01-01T00:00:00Z,1995-12-31T00:00:00Z,MIROC6,historical,cmip,bias_corrected,overall_calibrated
r008_002,r008,cmip_hist,cmip_hist_1990_2014,1990-01-01T00:00:00Z,2014-12-31T00:00:00Z,MIROC6,historical,cmip,bias_corrected,overall_calibrated
r009_000,r009,cmip_hist,cmip_hist_1940_1970,1940-01-01T00:00:00Z,1970-12-31T00:00:00Z,MPI-ESM1-2-HR,historical,cmip,bias_corrected,overall_calibrated
